"Deep Relaxing/Meditation/Reflection","4/5/18 9:59 PM","4/5/18 10:19 PM","0.33","","","","","",""
"Eating/Hygeine/Bathroom/Shopping","4/5/18 10:19 PM","4/5/18 10:47 PM","0.47","","","","","",""
"Sleeping/Napping","4/5/18 10:47 PM","4/6/18 7:20 AM","8.55","","","","","",""
"Eating/Hygeine/Bathroom/Shopping","4/6/18 7:20 AM","4/6/18 7:55 AM","0.58","","","","","",""
"Shallow Work/Planning","4/6/18 7:55 AM","4/6/18 8:05 AM","0.17","","","","","",""
"Education/Reading/Class","4/6/18 8:05 AM","4/6/18 8:20 AM","0.25","","","","","",""
"Deep Relaxing/Meditation/Reflection","4/6/18 8:20 AM","4/6/18 8:28 AM","0.13","","","","","",""
"Shallow Work/Planning","4/6/18 8:28 AM","4/6/18 8:51 AM","0.38","","","","","",""
"Education/Reading/Class","4/6/18 8:51 AM","4/6/18 9:10 AM","0.32","","","","","",""
"Deep Work/Deliberate Practice","4/6/18 9:10 AM","4/6/18 9:31 AM","0.35","","","","","",""
"Deep Relaxing/Meditation/Reflection","4/6/18 9:31 AM","4/6/18 9:36 AM","0.08","","","","","",""
"Education/Reading/Class","4/6/18 9:36 AM","4/6/18 10:17 AM","0.68","","","","","",""
"Shallow Work/Planning","4/6/18 10:16 AM","4/6/18 10:24 AM","0.13","","","","","",""
"Eating/Hygeine/Bathroom/Shopping","4/6/18 10:24 AM","4/6/18 10:29 AM","0.08","","","","","",""
"Family/Friends/Socializing","4/6/18 10:29 AM","4/6/18 10:44 AM","0.25","","","","","",""
"Deep Relaxing/Meditation/Reflection","4/6/18 10:44 AM","4/6/18 11:00 AM","0.27","","","","","",""
"Education/Reading/Class","4/6/18 11:00 AM","4/6/18 11:50 AM","0.83","","","","","",""
"Family/Friends/Socializing","4/6/18 11:50 AM","4/6/18 12:26 PM","0.6","","","","","",""
"Deep Relaxing/Meditation/Reflection","4/6/18 12:26 PM","4/6/18 1:00 PM","0.57","","","","","",""
"Education/Reading/Class","4/6/18 1:00 PM","4/6/18 2:00 PM","1","","","","","",""
"Family/Friends/Socializing","4/6/18 2:00 PM","4/6/18 3:11 PM","1.18","","","","","",""
"Deep Relaxing/Meditation/Reflection","4/6/18 3:11 PM","4/6/18 3:16 PM","0.08","","","","","",""
"Shallow Work/Planning","4/6/18 3:16 PM","4/6/18 4:20 PM","1.07","","","","","",""
"Education/Reading/Class","4/6/18 4:20 PM","4/6/18 4:36 PM","0.27","","","","","",""
"Sleeping/Napping","4/6/18 4:36 PM","4/6/18 4:38 PM","0.03","","","","","",""
"Eating/Hygeine/Bathroom/Shopping","4/6/18 4:38 PM","4/6/18 5:10 PM","0.53","","","","","",""
"Education/Reading/Class","4/6/18 5:10 PM","4/6/18 5:40 PM","0.5","","","","","",""
"Eating/Hygeine/Bathroom/Shopping","4/6/18 5:40 PM","4/6/18 9:00 PM","3.33","","","","","",""
"Deep Relaxing/Meditation/Reflection","4/6/18 9:01 PM","4/6/18 9:40 PM","0.65","","","","","",""
"Eating/Hygeine/Bathroom/Shopping","4/6/18 9:40 PM","4/6/18 10:03 PM","0.38","","","","","",""
"Deep Relaxing/Meditation/Reflection","4/6/18 10:03 PM","4/6/18 10:10 PM","0.12","","","","","",""
"Sleeping/Napping","4/6/18 10:10 PM","4/7/18 7:10 AM","9","","","","","",""
"Eating/Hygeine/Bathroom/Shopping","4/7/18 7:10 AM","4/7/18 7:44 AM","0.57","","","","","",""
"Shallow Work/Planning","4/7/18 7:44 AM","4/7/18 7:50 AM","0.1","","","","","",""
"Education/Reading/Class","4/7/18 7:50 AM","4/7/18 8:13 AM","0.38","","","","","",""
"Deep Work/Deliberate Practice","4/7/18 8:13 AM","4/7/18 9:15 AM","1.03","","","","","",""
"Deep Relaxing/Meditation/Reflection","4/7/18 9:15 AM","4/7/18 9:23 AM","0.13","","","","","",""
"Education/Reading/Class","4/7/18 9:20 AM","4/7/18 9:35 AM","0.25","","","","","",""
"Deep Work/Deliberate Practice","4/7/18 9:35 AM","4/7/18 9:52 AM","0.28","","","","","",""
"Deep Relaxing/Meditation/Reflection","4/7/18 9:53 AM","4/7/18 9:56 AM","0.05","","","","","",""
"Education/Reading/Class","4/7/18 9:56 AM","4/7/18 11:13 AM","1.28","","","","","",""
"Deep Relaxing/Meditation/Reflection","4/7/18 11:12 AM","4/7/18 11:24 AM","0.2","","","","","",""
"Education/Reading/Class","4/7/18 11:24 AM","4/7/18 12:41 PM","1.28","","","","","",""
"Eating/Hygeine/Bathroom/Shopping","4/7/18 12:41 PM","4/7/18 12:45 PM","0.07","","","","","",""
"Education/Reading/Class","4/7/18 12:45 PM","4/7/18 1:40 PM","0.92","","","","","",""
"TV/News/Entertainment/Music","4/7/18 1:40 PM","4/7/18 1:52 PM","0.2","","","","","",""
"Deep Relaxing/Meditation/Reflection","4/7/18 1:52 PM","4/7/18 2:18 PM","0.43","","","","","",""
"Education/Reading/Class","4/7/18 2:18 PM","4/7/18 3:00 PM","0.7","","","","","",""
"Dating","4/7/18 3:00 PM","4/7/18 11:00 PM","8","","","","","",""
"Sleeping/Napping","4/7/18 11:00 PM","4/8/18 7:10 AM","8.17","","","","","",""
"Eating/Hygeine/Bathroom/Shopping","4/8/18 7:10 AM","4/8/18 7:44 AM","0.57","","","","","",""
"Education/Reading/Class","4/8/18 7:44 AM","4/8/18 8:21 AM","0.62","","","","","",""
"Deep Work/Deliberate Practice","4/8/18 8:21 AM","4/8/18 8:48 AM","0.45","","","","","",""
"Education/Reading/Class","4/8/18 8:48 AM","4/8/18 10:51 AM","2.05","","","","","",""
"Deep Relaxing/Meditation/Reflection","4/8/18 10:51 AM","4/8/18 11:00 AM","0.15","","","","","",""
"Deep Work/Deliberate Practice","4/8/18 10:59 AM","4/8/18 11:57 AM","0.97","","","","","",""
"Eating/Hygeine/Bathroom/Shopping","4/8/18 11:57 AM","4/8/18 12:29 PM","0.53","","","","","",""
"Education/Reading/Class","4/8/18 12:29 PM","4/8/18 1:43 PM","1.23","","","","","",""
"Sleeping/Napping","4/8/18 1:43 PM","4/8/18 1:51 PM","0.13","","","","","",""
"Education/Reading/Class","4/8/18 1:51 PM","4/8/18 2:19 PM","0.47","","","","","",""
"Deep Relaxing/Meditation/Reflection","4/8/18 2:19 PM","4/8/18 2:20 PM","0.02","","","","","",""
