"Job","Clocked In","Clocked Out","Duration","Comment","Tags","Breaks","Adjustments","TotalTimeAdjustment","TotalEarningsAdjustment"
"Education/Reading/Class","11/18/17 7:30 AM","11/18/17 1:26 PM","5.93","","","","","",""
"Education/Reading/Class","11/18/17 4:00 PM","11/18/17 6:30 PM","2.5","","","","","",""
"Education/Reading/Class","11/18/17 6:31 PM","11/18/17 9:24 PM","2.88","","","","","",""
"Education/Reading/Class","11/20/17 9:07 AM","11/20/17 9:01 PM","11.9","","","","","",""
"Education/Reading/Class","11/21/17 8:00 AM","11/21/17 5:33 PM","9.55","","","","","",""
"Education/Reading/Class","11/22/17 8:30 AM","11/22/17 5:12 PM","8.7","","","","","",""
"Education/Reading/Class","11/22/17 5:15 PM","11/22/17 7:20 PM","2.08","","","","","",""
"Education/Reading/Class","11/22/17 8:20 PM","11/22/17 8:59 PM","0.65","","","","","",""
"Education/Reading/Class","11/24/17 8:00 AM","11/24/17 3:14 PM","7.23","","","","","",""
"Education/Reading/Class","11/25/17 8:59 AM","11/25/17 10:59 AM","2","","","","","",""
"Education/Reading/Class","11/26/17 9:36 AM","11/26/17 5:37 PM","8.02","","","","","",""
"Education/Reading/Class","11/27/17 8:34 AM","11/27/17 8:34 PM","12","","","","","",""
"Education/Reading/Class","11/28/17 7:39 AM","11/28/17 5:41 PM","10.03","","","","","",""
"Education/Reading/Class","11/29/17 7:00 AM","11/29/17 4:58 PM","9.97","","","","","",""
"Education/Reading/Class","11/30/17 7:30 AM","11/30/17 5:42 PM","10.2","","","","","",""
"Education/Reading/Class","11/30/17 5:47 PM","11/30/17 6:15 PM","0.47","","","","","",""
"Education/Reading/Class","12/1/17 8:31 AM","12/1/17 7:18 PM","10.78","","","","","",""
"Education/Reading/Class","12/2/17 6:47 AM","12/2/17 5:37 PM","10.83","","","","","",""
"Education/Reading/Class","12/3/17 7:05 AM","12/3/17 8:04 PM","12.98","","","","","",""
"Education/Reading/Class","12/4/17 7:15 AM","12/4/17 8:06 PM","12.85","","","","","",""
"Education/Reading/Class","12/5/17 7:30 AM","12/5/17 6:51 PM","11.35","","","","","",""
"Education/Reading/Class","12/6/17 7:30 AM","12/6/17 8:10 PM","12.67","","","","","",""
"Education/Reading/Class","12/7/17 7:46 AM","12/7/17 6:51 PM","11.08","","","","","",""
"Education/Reading/Class","12/8/17 8:00 AM","12/8/17 8:19 PM","12.32","","","","","",""
"Education/Reading/Class","12/9/17 8:00 AM","12/9/17 4:55 PM","8.92","","","","","",""
"Education/Reading/Class","12/10/17 8:00 AM","12/10/17 4:43 PM","8.72","","","","","",""
"Education/Reading/Class","12/11/17 8:40 AM","12/11/17 5:33 PM","8.88","","","","","",""
"Education/Reading/Class","12/12/17 8:00 AM","12/12/17 5:12 PM","9.2","","","","","",""
"Education/Reading/Class","12/13/17 8:30 AM","12/13/17 12:03 PM","3.55","","","","","",""
"Eating/Hygeine/Bathroom/Shopping","12/13/17 12:03 PM","12/13/17 12:06 PM","0.05","","","","","",""
"TV/News/Entertainment/Music","12/13/17 12:06 PM","12/13/17 12:23 PM","0.28","","","","","",""
"Education/Reading/Class","12/13/17 12:23 PM","12/13/17 1:31 PM","1.13","","","","","",""
"Eating/Hygeine/Bathroom/Shopping","12/13/17 1:31 PM","12/13/17 2:02 PM","0.52","","","","","",""
"Education/Reading/Class","12/13/17 2:02 PM","12/13/17 4:20 PM","2.3","","","","","",""
"Education/Reading/Class","12/13/17 4:22 PM","12/13/17 4:52 PM","0.5","","","","","",""
"Eating/Hygeine/Bathroom/Shopping","12/13/17 4:52 PM","12/13/17 5:06 PM","0.23","","","","","",""
"TV/News/Entertainment/Music","12/13/17 5:07 PM","12/13/17 5:51 PM","0.73","","","","","",""
"Eating/Hygeine/Bathroom/Shopping","12/13/17 5:51 PM","12/13/17 6:17 PM","0.43","","","","","",""
"Eating/Hygeine/Bathroom/Shopping","12/13/17 6:24 PM","12/13/17 8:21 PM","1.95","","","","","",""
"TV/News/Entertainment/Music","12/13/17 8:21 PM","12/13/17 10:12 PM","1.85","","","","","",""
"TV/News/Entertainment/Music","12/13/17 10:01 PM","12/13/17 11:00 PM","0.98","","","","","",""
"Education/Reading/Class","12/13/17 11:00 PM","12/13/17 11:59 PM","0.98","","","","","",""
"Sleeping/Napping","12/14/17 12:02 AM","12/14/17 7:10 AM","7.13","","","","","",""
"Eating/Hygeine/Bathroom/Shopping","12/14/17 7:10 AM","12/14/17 7:31 AM","0.35","","","","","",""
"Education/Reading/Class","12/14/17 7:31 AM","12/14/17 8:14 AM","0.72","","","","","",""
"Shallow Work/Planning","12/14/17 8:14 AM","12/14/17 8:35 AM","0.35","","","","","",""
"TV/News/Entertainment/Music","12/14/17 8:35 AM","12/14/17 8:54 AM","0.32","","","","","",""
"Education/Reading/Class","12/14/17 8:54 AM","12/14/17 10:11 AM","1.28","","","","","",""
"Shallow Work/Planning","12/14/17 10:11 AM","12/14/17 10:13 AM","0.03","","","","","",""
"TV/News/Entertainment/Music","12/14/17 10:13 AM","12/14/17 10:14 AM","0.02","","","","","",""
"Education/Reading/Class","12/14/17 10:14 AM","12/14/17 10:29 AM","0.25","","","","","",""
